iter	Passed	Remaining
0	129	129145
1	130	65347
2	136	45346
3	137	34307
4	139	27715
5	140	23288
6	141	20090
7	142	17665
8	143	15779
9	144	14273
10	144	13036
11	147	12120
12	148	11238
13	148	10484
14	149	9825
15	150	9238
16	150	8726
17	151	8273
18	152	7878
19	153	7500
20	153	7160
21	154	6850
22	154	6566
23	155	6305
24	155	6066
25	156	5844
26	156	5638
27	156	5448
28	157	5270
29	157	5106
30	158	4951
31	158	4805
32	159	4668
33	160	4552
34	161	4453
35	162	4346
36	162	4237
37	163	4133
38	163	4034
39	164	3941
40	164	3853
41	165	3769
42	165	3688
43	166	3610
44	166	3536
45	167	3465
46	167	3397
47	168	3332
48	168	3270
49	168	3210
50	169	3153
51	169	3097
52	170	3044
53	170	2993
54	171	2943
55	171	2895
56	172	2850
57	172	2805
58	173	2762
59	173	2720
60	174	2679
61	175	2657
62	176	2626
63	177	2595
64	177	2560
65	178	2525
66	178	2491
67	179	2458
68	179	2427
69	180	2396
70	180	2366
71	181	2336
72	181	2308
73	182	2280
74	182	2253
75	183	2227
76	183	2201
77	184	2176
78	184	2152
79	185	2128
80	185	2105
81	186	2082
82	186	2057
83	186	2036
84	187	2015
85	187	1994
86	188	1974
87	188	1954
88	189	1935
89	190	1925
90	191	1909
91	191	1894
92	193	1883
93	194	1872
94	194	1855
95	195	1839
96	196	1824
97	196	1811
98	197	1796
99	197	1781
100	198	1767
101	199	1753
102	199	1739
103	200	1725
104	200	1711
105	201	1698
106	201	1685
107	202	1673
108	203	1660
109	203	1648
110	204	1636
111	207	1641
112	207	1629
113	208	1617
114	208	1606
115	209	1595
116	209	1582
117	210	1571
118	211	1562
119	211	1551
120	212	1540
121	212	1529
122	213	1518
123	213	1509
124	214	1499
125	214	1489
126	215	1479
127	215	1469
128	216	1461
129	217	1452
130	218	1446
131	220	1449
132	221	1443
133	222	1435
134	222	1427
135	223	1418
136	223	1410
137	224	1402
138	225	1393
139	225	1386
140	226	1381
141	227	1373
142	228	1366
143	228	1359
144	229	1351
145	229	1343
146	230	1335
147	230	1327
148	231	1320
149	231	1312
150	232	1309
151	234	1305
152	234	1298
153	235	1291
154	235	1283
155	235	1276
156	236	1269
157	236	1262
158	237	1256
159	237	1249
160	238	1241
161	238	1234
162	239	1228
163	239	1221
164	240	1215
165	240	1208
166	241	1202
167	241	1197
168	242	1190
169	242	1184
170	243	1178
171	246	1184
172	246	1180
173	247	1176
174	248	1170
175	249	1166
176	249	1161
177	250	1155
178	250	1151
179	251	1146
180	252	1141
181	252	1136
182	253	1131
183	253	1126
184	254	1121
185	254	1115
186	255	1110
187	255	1105
188	256	1100
189	256	1094
190	257	1089
191	257	1084
192	258	1079
193	261	1088
194	263	1086
195	263	1082
196	264	1077
197	264	1072
198	265	1067
199	265	1062
200	266	1058
201	266	1053
202	267	1048
203	267	1044
204	268	1039
205	268	1035
206	269	1030
207	269	1026
208	270	1022
209	270	1017
210	270	1013
211	271	1008
212	271	1004
213	272	1000
214	272	996
215	273	991
216	273	987
217	275	987
218	277	989
219	278	986
220	278	983
221	279	979
222	280	976
223	280	972
224	281	969
225	282	966
226	282	962
227	283	959
228	283	955
229	284	951
230	284	947
231	285	943
232	285	940
233	286	936
234	286	933
235	287	929
236	287	925
237	288	922
238	289	923
239	292	925
240	293	923
241	294	921
242	294	917
243	295	914
244	295	911
245	296	907
246	296	904
247	297	900
248	297	897
249	297	893
250	298	890
251	298	887
252	299	883
253	299	880
254	300	877
255	300	873
256	301	870
257	301	867
258	302	864
259	302	861
260	303	858
261	303	854
262	308	864
263	309	861
264	309	858
265	310	855
266	310	852
267	310	849
268	311	846
269	311	843
270	312	840
271	312	837
272	313	834
273	313	831
274	314	828
275	314	825
276	315	823
277	315	820
278	316	817
279	316	814
280	317	811
281	317	808
282	318	805
283	318	803
284	318	800
285	321	801
286	323	803
287	324	801
288	324	799
289	325	796
290	325	794
291	326	791
292	327	789
293	327	787
294	328	785
295	329	783
296	330	781
297	330	778
298	331	776
299	331	774
300	332	772
301	333	769
302	333	767
303	334	764
304	335	765
305	336	764
306	338	763
307	338	760
308	339	758
309	339	755
310	340	753
311	340	750
312	341	748
313	341	746
314	342	743
315	342	741
316	342	738
317	343	736
318	343	734
319	344	731
320	344	729
321	345	727
322	345	724
323	346	722
324	346	720
325	347	717
326	347	715
327	348	713
328	348	711
329	350	710
330	350	708
331	351	706
332	351	704
333	352	702
334	352	700
335	353	697
336	353	695
337	354	693
338	354	691
339	355	689
340	355	687
341	356	685
342	356	683
343	357	681
344	357	679
345	358	677
346	358	675
347	359	672
348	359	670
349	360	668
350	360	666
351	361	665
352	362	665
353	364	664
354	365	664
355	366	662
356	366	660
357	367	658
358	368	657
359	369	656
360	370	655
361	370	653
362	371	652
363	372	650
364	372	648
365	373	646
366	374	645
367	374	643
368	375	642
369	378	644
370	379	643
371	379	641
372	380	640
373	381	638
374	381	636
375	382	634
376	382	632
377	383	630
378	383	628
379	384	626
380	384	624
381	385	623
382	385	621
383	386	619
384	386	617
385	386	615
386	387	613
387	387	611
388	388	610
389	391	611
390	392	611
391	393	610
392	393	608
393	394	606
394	394	604
395	395	603
396	395	601
397	396	599
398	396	597
399	397	595
400	397	594
401	398	592
402	398	590
403	399	588
404	399	587
405	400	585
406	400	583
407	401	581
408	401	580
409	401	578
410	402	576
411	402	575
412	405	575
413	406	575
414	408	575
415	408	573
416	409	571
417	409	570
418	410	568
419	410	566
420	410	565
421	411	563
422	411	561
423	412	560
424	412	558
425	413	556
426	413	555
427	414	553
428	414	551
429	415	550
430	415	548
431	416	547
432	416	545
433	417	544
434	417	542
435	419	543
436	420	542
437	422	541
438	422	540
439	423	538
440	423	537
441	424	535
442	424	534
443	425	532
444	425	531
445	426	529
446	426	527
447	427	526
448	427	524
449	428	523
450	428	521
451	429	520
452	429	518
453	429	517
454	430	515
455	430	513
456	431	512
457	431	510
458	432	509
459	432	507
460	433	506
461	435	506
462	435	505
463	436	503
464	436	502
465	437	500
466	437	499
467	438	498
468	438	496
469	439	495
470	439	493
471	439	492
472	440	490
473	440	489
474	441	487
475	441	486
476	442	484
477	442	483
478	443	482
479	443	480
480	444	479
481	444	477
482	445	476
483	445	474
484	448	476
485	450	476
486	451	475
487	451	473
488	452	472
489	452	471
490	453	469
491	453	468
492	454	467
493	454	465
494	455	464
495	455	463
496	456	461
497	456	460
498	457	458
499	457	457
500	457	456
501	458	454
502	458	453
503	459	452
504	459	450
505	460	449
506	462	449
507	463	449
508	464	448
509	465	447
510	466	446
511	466	444
512	467	443
513	468	442
514	470	443
515	471	442
516	472	441
517	472	440
518	473	438
519	474	437
520	474	436
521	475	435
522	475	433
523	478	434
524	480	434
525	480	433
526	481	431
527	481	430
528	482	429
529	482	427
530	483	426
531	483	425
532	484	424
533	484	422
534	484	421
535	485	420
536	486	419
537	486	417
538	486	416
539	487	415
540	487	413
541	488	412
542	488	411
543	489	410
544	489	408
545	490	407
546	493	408
547	494	408
548	495	407
549	496	405
550	496	404
551	497	403
552	497	402
553	498	401
554	498	399
555	499	398
556	499	397
557	500	396
558	500	394
559	500	393
560	501	392
561	501	391
562	502	389
563	502	388
564	503	387
565	503	386
566	504	385
567	504	383
568	505	382
569	509	384
570	510	383
571	510	382
572	511	381
573	512	380
574	513	379
575	513	378
576	514	377
577	515	376
578	516	375
579	517	374
580	517	373
581	518	372
582	518	371
583	519	370
584	524	371
585	524	370
586	525	369
587	526	368
588	526	367
589	527	366
590	527	365
591	528	364
592	528	363
593	529	361
594	530	360
595	530	359
596	531	358
597	531	357
598	532	356
599	533	355
600	533	354
601	534	353
602	538	354
603	539	353
604	541	353
605	541	352
606	542	351
607	542	350
608	543	348
609	544	347
610	544	346
611	545	345
612	545	344
613	546	343
614	547	342
615	547	341
616	548	340
617	548	339
618	549	338
619	549	337
620	550	335
621	553	336
622	554	335
623	555	334
624	555	333
625	556	332
626	556	331
627	557	330
628	558	329
629	558	328
630	559	327
631	559	325
632	560	324
633	560	323
634	561	322
635	561	321
636	562	320
637	562	319
638	563	318
639	564	317
640	564	316
641	565	315
642	566	314
643	569	314
644	570	313
645	571	312
646	571	311
647	572	310
648	572	309
649	573	308
650	573	307
651	574	306
652	575	305
